"ref ad that was only Neymar. Essentially Argentina had 1 real chance and Di Maria took it brilliantly. A few penalty calls. So much emphasis on Messi. Evan after final whistle all the players ran to Messi. Certainly an ""I"" in that team. Pity the Aussies weren't there :grin: Finally messi delivers","Wed Jul 14, 2021 12:13 pm",6,3099,"Australian National Football Teams - Socceroos, Olyroos, Matildas  etc",Copa America 2020 on Optus Sport
"ref ad that was only Neymar. Essentially Argentina had 1 real chance and Di Maria took it brilliantly. A few penalty calls. So much emphasis on Messi. Evan after final whistle all the players ran to Messi. Certainly an ""I"" in that team. Pity the Aussies weren't there :grin:","Sun Jul 11, 2021 11:36 am",6,3099,"Australian National Football Teams - Socceroos, Olyroos, Matildas  etc",Copa America 2020 on Optus Sport
"relatively comfortably, why did he change that winning formula? He's naturally a cautious coach who takes no risks. If he had a 25 year old Lionel Messi in his squad, he'd be sat on the bench because he doesn't fit the square peg holes that Gareth loves. I think he going to play for penalties and","Tue Jul 06, 2021 8:15 am",469,34324,World Football,Euro 2020
"Yes , our best ever player. I can’t see many scousers agreeing with you if an overweight Messi did nothing in one guest appearance for LFC. There is no way they would they put him a ahead of Gerrard or Dalglish as “ LFC best ever” . Well, you can’t have guest appearances","Sun May 09, 2021 9:03 am",27,2951,World Football,Happy Birthday to WA's best ever
"Well, you can’t have guest appearances in proper leagues.","Sat May 08, 2021 10:21 pm",27,2951,World Football,Happy Birthday to WA's best ever
I can’t see many scousers agreeing with you if an overweight Messi did nothing in one guest appearance for LFC. There is no way they would they put him a ahead of Gerrard or Dalglish as “ LFC best ever” .,"Sat May 08, 2021 9:59 pm",27,2951,World Football,Happy Birthday to WA's best ever
"Souness and best are not that good. Strewth Never said that . George Best player I have seen live but that was it his peak . So if a 40 year old Messi played one guest appearance for Liverpool would you put him ahead of all the legends like Dalglish, Rush , Keegan etc as Liverpool’s greatest","Sat May 08, 2021 5:43 pm",27,2951,World Football,Happy Birthday to WA's best ever
So galekovic was a better player then Romario? Mmmmm Your confusing what Romario did away from AU with what he did at AU. By your logic if Messi at age 40 played 5 games for Liverpool way past his best he would be ranked above Dalglish as LFC greatest player. Romario better player over his,"Thu May 06, 2021 11:05 pm",27,2951,World Football,Happy Birthday to WA's best ever
"video which is all 100 of his EPL goals, half an hour in I was asking the same question, why does no one mark him, now watch Ronaldo, watch Messi & you end up asking the same questions, good players get away from defenders and make themselves space, the difference between themselves & average","Mon Sep 07, 2020 7:39 am",11,2995,Womens Football,Season review to date
"Barcelona v. Bayern 2-8(!). Barca absolutely slaughtered. When, if ever, was the last time Messi was on a losing side by that margin? Pique now officially past it - a mere statue in the Barca defence. The Bayern forwards and midfielders simply walked past him. Coutinho","Sat Aug 15, 2020 1:11 pm",68,11362,World Football,Champions League 19/20
You can do it whenever. it is more or less unimportant. It was a great encouragement.,"Thu Apr 02, 2020 1:39 am",4,1870,World Football,"Messi, C. Ronaldo donated 1 million euros against Covid-19"
"wish I was in a position to do that. don't knock them,they didn't have to","Thu Apr 02, 2020 1:32 am",4,1870,World Football,"Messi, C. Ronaldo donated 1 million euros against Covid-19"
Yes. Right!,"Tue Mar 31, 2020 9:35 pm",4,1870,World Football,"Messi, C. Ronaldo donated 1 million euros against Covid-19"
so a weeks wages well done,"Mon Mar 30, 2020 1:47 pm",4,1870,World Football,"Messi, C. Ronaldo donated 1 million euros against Covid-19"
"Messi, C.Ronaldo and Guardiola have just made a donation of 1 million euros to fight the Covid-19 pandemic that is booming in Europe and many other parts of the world. View details on page: ","Sat Mar 28, 2020 1:22 pm",4,1870,World Football,"Messi, C. Ronaldo donated 1 million euros against Covid-19"
"Wow Inter lost at home,even with no Messi.","Wed Dec 11, 2019 2:56 pm",68,11362,World Football,Champions League 19/20
"The fact that Ronaldo has won trophies in many other leagues suggests that he is a better player.but according to Klopp, Van Dijk was robbed!","Fri Dec 06, 2019 11:29 am",2,1026,World Football,Messi now has one more Ballon d'Or than Ronaldo
